"gene_id"	"recomb_50kb"	"recomb_100kb"	"recomb_200kb"	"recomb_500kb"	"recomb_1000kb"
"ENSG00000000419"	0.269738708260876	4.02756600420671	4.69625805830346	2.90423542814713	2.65618841783004
"ENSG00000000457"	0.148348709560194	0.119169225422231	0.172348049859453	0.27124418442266	0.961347214585035
"ENSG00000000460"	0.196094230894564	0.178351437714453	0.409547368873577	1.36259251324742	0.952483057278479
"ENSG00000000938"	2.31271640343236	2.18083034211644	1.17929965153621	0.706928484711659	0.625446399788063
"ENSG00000000971"	0.144013640637307	0.141086188390872	NA	0.12272062556003	0.268321063518702
"ENSG00000001036"	2.11321768402075	1.30647496673997	1.13507316639252	1.33428006950444	1.24239126585114
"ENSG00000001084"	5.53593813606269	3.29688218225355	2.91571663363242	2.12707206050796	1.444150974888
"ENSG00000001167"	0.0908306733491078	0.128848848067467	0.206105988206357	0.884279997205863	2.35635918312769
"ENSG00000001460"	0.457863447305525	0.470085738803845	1.19542996761429	2.03123037889347	1.41915780994789
"ENSG00000001461"	0.663062952244292	0.674038840217323	0.544585848487298	1.97700080077466	1.55272978692348
"ENSG00000001561"	4.42193799194209e-09	0.591252734575167	2.62529493951021	1.62437973446219	1.41622776418535
"ENSG00000001617"	0.162304796270885	0.327931720390401	0.182569480166353	0.145701327757179	NA
"ENSG00000001626"	0.641458777684428	0.345974569097357	0.185270253623889	0.495305164561569	NA
"ENSG00000001629"	0	NA	0.067647221247356	0.431517832172885	0.312480235219293
"ENSG00000001630"	0.0342492670526188	0.019273445470724	NA	NA	0.383431829240298
"ENSG00000001631"	0.0320617668473543	0.0160307231132398	NA	NA	0.323929032152367
"ENSG00000002016"	8.48218689918859	4.43606575272859	2.26160281939826	2.11362135931647	NA
"ENSG00000002330"	0.147323909014422	0.147382915880414	0.172579995427892	0.637947967279084	0.597951190782686
"ENSG00000002549"	0.485845968450367	0.801678885661931	0.842133178425484	0.995908865549813	1.59420081286507
"ENSG00000002587"	4.40116792849019	2.50496627961156	1.36773199020389	1.60478789597455	1.39475801892842
"ENSG00000002726"	1.04524600007221	2.27512943674999	1.79297232207422	1.28001175139506	1.48766289032533
"ENSG00000002745"	0.243307178425197	0.182610934721644	0.945723264124996	0.851577631818899	0.771015025101747
"ENSG00000002746"	0.654009606976792	0.562308150964544	1.67204186523465	1.61641890986058	0.945779110758477
"ENSG00000002822"	0.217508463458227	0.179631240815186	0.165910224450104	0.362096510052811	1.00646109017047
"ENSG00000002834"	3.79101496349183	2.02643892933787	1.11379872168451	0.912708565704891	1.37345127282492
"ENSG00000002919"	0.0511216754810857	0.0257508834197506	0.120213489246785	0.234642739816818	0.476673502780426
"ENSG00000002933"	4.30920576581347	2.80429517183642	1.82790097442905	1.18887271552381	1.38363166259769
"ENSG00000003056"	0.235191656133859	0.478905764720777	1.64300640746796	1.17709249872338	1.34581052513411
"ENSG00000003137"	1.88920612888944	1.49990888864208	1.11678583666388	0.871284038203231	0.817495224536079
"ENSG00000003147"	5.59510466043026	4.6495792704084	3.80213277818055	2.86644704454226	3.2701684265546
"ENSG00000003249"	NA	NA	NA	NA	NA
"ENSG00000003393"	0.132331746281352	0.315507075002393	1.53036533931961	1.87710986287924	1.1884045511081
"ENSG00000003400"	0.120383907378818	0.407753850344134	0.305540270116687	NA	0.725788588118256
"ENSG00000003402"	0.0390731799344061	NA	NA	0.164053544850615	0.621930895333748
"ENSG00000003436"	0.359297349456048	0.242598542182116	0.319071798989924	0.2122876048735	0.296747526170417
"ENSG00000003509"	0.444654969091194	0.2685083651783	0.437971299175239	1.01495148795546	1.10465129765504
"ENSG00000003756"	0.0281883692929761	0.205214476177812	0.150906020630342	0.152272448655509	0.157004723201356
"ENSG00000003987"	2.1113318239945	1.99971616817844	2.4370560499392	3.30633987810455	3.14907514469448
"ENSG00000003989"	7.04853787055754	7.45560248810984	5.15677707037992	3.71771513882386	2.27775833806739
"ENSG00000004059"	0.444389108064758	0.314678418586018	0.202231817446547	0.175055363373135	0.295509631406015
"ENSG00000004139"	0.154126076103131	0.743175073243536	0.763975125019032	0.56097598605857	0.430587972371702
"ENSG00000004142"	0.111717104763575	0.175911100716809	0.664856692083865	0.560975986087617	0.454742503638022
"ENSG00000004399"	0.834329741570669	0.880869074715715	0.443564788649208	0.516486224784814	0.452943871601397
"ENSG00000004455"	0.076573705989923	0.17577016241654	0.546751417486968	0.425086875986128	0.5775588008079
"ENSG00000004468"	0.120647954312583	0.829282842948263	1.36659545479634	1.44695350177177	1.04731378857988
"ENSG00000004478"	5.46889366548402	4.27812717857618	3.02369258096221	2.49006858026541	2.77657486251953
"ENSG00000004487"	2.5513839539385e-05	0.0358361949749815	0.196307601195249	1.18878127630116	1.1598395766061
"ENSG00000004534"	NA	0.00657238086009036	0.00856511666345507	0.148548957740718	0.143449052959223
"ENSG00000004660"	9.6967290670297	10.1906815955815	6.9420269561385	3.45536849961014	2.78518847147995
"ENSG00000004700"	0.575565233599969	0.640721063754643	0.921043790090461	0.8651178620527	0.639179762491433
"ENSG00000004766"	0.0747983147566276	0.0380075641143031	1.44398251120826	1.34925263764349	1.28829362721327
