"gene_id"	"gc_content_50kb"	"gc_content_100kb"	"gc_content_200kb"	"gc_content_500kb"	"gc_content_1000kb"
"ENSG00000000419"	42.2417534722222	43.2216282894737	46.7537006578947	46.3953769329897	46.9260430090206
"ENSG00000000457"	39.54833984375	39.6039496527778	37.8818873355263	37.7937825520833	37.9522390463918
"ENSG00000000460"	39.375	39.4130345394737	39.2151521381579	38.3535357603093	37.8146142074742
"ENSG00000000938"	52.9231770833333	52.6212993421053	51.6293174342105	48.2613160438144	47.2421875
"ENSG00000000971"	35.4513888888889	35.4383680555556	35.0030838815789	35.1435647551546	34.8527102126289
"ENSG00000001036"	39.2556423611111	39.9240451388889	40.0868626644737	39.7322003865979	39.6058513208763
"ENSG00000001084"	40.9982638888889	40.6116365131579	39.9450041118421	40.2667928479381	40.4133778994845
"ENSG00000001167"	40.6467013888889	42.5668174342105	43.8641036184211	43.8337628865979	45.8253463273196
"ENSG00000001460"	42.32421875	45.986328125	46.0038034539474	46.1573775773196	46.0728092783505
"ENSG00000001461"	44.7048611111111	43.90625	44.7450657894737	45.5931862113402	46.4260817307692
"ENSG00000001561"	36.7664930555556	38.2781661184211	39.6885279605263	40.5017719072165	40.4733573717949
"ENSG00000001617"	57.3611111111111	57.1213107638889	54.7512335526316	52.0487677190722	52.6345038659794
"ENSG00000001626"	34.9853515625	35.4047309027778	36.2844366776316	36.881103515625	38.1245972938144
"ENSG00000001629"	35.244140625	36.1794704861111	37.3165090460526	38.8614908854167	38.3688385953608
"ENSG00000001630"	40.3645833333333	38.8569078947368	37.5539679276316	37.626449742268	38.4935897435897
"ENSG00000001631"	37.0985243055556	37.9231770833333	38.1532689144737	37.933349609375	38.4889457152062
"ENSG00000002016"	44.7873263888889	44.9753289473684	42.2265625	40.381362757732	41.8887219551282
"ENSG00000002330"	58.0577256944444	58.5043174342105	56.8667763157895	54.3335212628866	53.7606717139175
"ENSG00000002549"	45.0542534722222	45.0162760416667	44.4094366776316	42.8466796875	40.4977448453608
"ENSG00000002587"	43.4033203125	42.2450086805556	40.7791940789474	39.9479166666667	39.2158303801546
"ENSG00000002726"	47.70751953125	44.6723090277778	44.53125	47.6708984375	47.9122704574742
"ENSG00000002745"	39.6826171875	37.5596788194444	37.8114720394737	37.2802734375	37.0638692010309
"ENSG00000002746"	40.7703993055556	42.0024671052632	41.9526110197368	41.7902303479381	41.3650732925258
"ENSG00000002822"	53.32763671875	55.8018663194444	56.4622738486842	55.0457763671875	54.569809117268
"ENSG00000002834"	53.4353298611111	49.5888157894737	47.5087376644737	49.1764658505155	49.902847132732
