covariate	slope	p_value
Intercept	-91.91650000373244	0.0
Number iHS data points	1.2167242631678785	0.0
Regulatory density (ChIP-seq)	0.3257403205081755	0.17293675698474054
Regulatory density in immune cells (ChIP-seq)	-1.0131108113593243	0.00013740784617621848
Regulatory density in testis (ChIP-seq)	0.008238530514048837	0.9647038522772081
Coding density	0.2556631643716298	0.10732981474674541
Density of conserved elements	-0.11864495355676669	0.48496456321853654
GC-content	0.025166286134995126	0.9019676715670932
Gene expression	-0.592421577591066	0.0270123363124134
Gene expression in testis	0.20385423487271362	0.2020471551566697
Gene expression in immune cells	0.8550863850341613	0.0008682871711626072
Gene length	0.8999979771410346	2.376203642295849e-06
Gene number	0.12160014684154703	0.39638990692360676
Number PPIs	0.07315935169601744	0.42177481055943555
Recombination rate	-144.05860098417554	0.0
Regulatory density (DNaseI)	0.2693211527045098	0.41674681111820566
Distance to VIPs	-0.10748704299451801	0.09884959186482567
