covariate,slope,p_value
Intercept,-2.8687913511802643,0.0
Number iHS data points,0.07260361132967989,0.011385400512136101
Regulatory density (ChIP-seq),0.16392478844888536,0.11642726165573436
Regulatory density in immune cells (ChIP-seq),-0.18679206134474843,0.041802318582682685
Regulatory density in testis (ChIP-seq),0.07092229850111202,0.27602004835790905
Coding density,0.1799071200666711,0.02081918753307499
Density of conserved elements,0.1820513560125355,0.0024324495987111394
GC-content,-0.34062562445900935,0.0014344768171380418
Gene expression,-0.3551614783340275,6.94746839806637e-05
Gene expression in testis,0.2603657175314931,1.0875178483749082e-05
Gene expression in immune cells,0.526590553254248,1.0510370351823894e-10
Gene length,0.08844474343953873,0.03655573129817746
Gene number,-0.11114018166283032,0.13331649057147177
Number PPIs,0.054009350570723196,0.15019810498962882
Recombination rate,-2.5719108892823073,0.0
Regulatory density (DNaseI),-0.18629099352941647,0.16087064548068153
Distance to VIPs,-0.15371933284727718,0.00016251134530365086
